# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Taurus Members (Table 8)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 187 rows and 15 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalog of Esplin et al. (2014),
#   except for PSO J060.3200+25.9644 and PSO J077.1033+24.3809 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 15  dt_flag       string           Flag for time baseline of the proper moton fit
# 
# Flags:
# {a} This object does not have a 2MASS detection.
# {x} No flag
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time  dt_flag
 2MASS_J04322329+2403013   16.29   0.02   14.85   0.01   14.08   0.01      6.6     2.4    -18.8     2.2     1.9    69    17.2        x
 2MASS_J04322415+2251083   14.55   0.01   13.64   0.01   13.11   0.01     10.8     1.6    -19.9     1.6     1.0    58    14.3        x
 2MASS_J04323205+2257266     NaN    NaN   20.05   0.11   19.08   0.07     13.5     5.1     -7.1     5.2     3.7    18    13.3        x
 2MASS_J04324938+2253082   15.37   0.16   13.89   0.01   13.16   0.01     18.8     6.3    -18.8     4.1      29    78    14.3        x
 2MASS_J04325026+2422115   20.85   0.03   18.56   0.02   17.12   0.02      1.8     2.9    -18.1     2.7     1.2    41    17.2        x
 2MASS_J04325119+1730092   19.08   0.02   17.43   0.01   16.53   0.01     12.6     1.7    -20.8     1.6     0.7    61    17.3        x
 2MASS_J04330197+2421000   14.56   0.01   13.32   0.01   12.60   0.01      4.9     1.8    -19.1     2.1     2.4    51    17.2        x
 2MASS_J04330781+2616066   16.40   0.01   14.89   0.01   14.00   0.01      9.0     1.8    -16.0     1.5     2.3    74    17.2        x
 2MASS_J04330945+2246487   17.51   0.02   15.98   0.01   15.20   0.01     -0.6     3.3    -16.8     1.5     2.3    67    16.2        x
 2MASS_J04331435+2614235   18.61   0.01   17.52   0.02   16.88   0.01      9.7     4.3    -10.4     4.1     3.5    61    17.2        x
 2MASS_J04331907+2246342   15.71   0.04   14.64   0.01   13.89   0.05      7.0     2.4    -18.7     1.9     3.2    74    16.2        x
 2MASS_J04332621+2245293   15.93   0.01   14.70   0.01   13.93   0.01      8.0     2.9    -12.4     2.2     3.9    69    16.2        x
 2MASS_J04332789+1758436   17.90   0.03   17.19   0.03   16.40   0.07     11.5     1.6    -14.9     1.6     0.7    76    17.3        x
 2MASS_J04333905+2227207   16.04   0.01   15.53   0.02   15.10   0.01      6.3     1.9    -10.3     4.8     4.3    77    16.2        x
 2MASS_J04334291+2526470   19.29   0.01   17.61   0.01   16.61   0.01      6.0     2.2    -24.5     3.0     1.3    43    17.2        x
 2MASS_J04334465+2615005   15.98   0.02   14.92   0.05   13.82   0.03      1.8     2.9    -17.1     2.7     6.4   104    17.2        x
 2MASS_J04335245+2612548   20.78   0.02   19.03   0.02   17.93   0.02      9.0     3.6    -15.9     3.5     1.0    73    17.2        x
 2MASS_J04340619+2418508   17.99   0.01   16.57   0.01   15.75   0.01      8.1     2.9    -19.9     2.0     3.2    53    17.2        x
 2MASS_J04341527+2250309   18.78   0.01   17.09   0.01   16.09   0.01     17.5     9.3    -12.4     2.8      13    45    16.2        x
 2MASS_J04344544+2308027   16.14   0.01   15.03   0.01   14.40   0.01      9.7     1.2    -16.1     1.2     1.4    82    16.3        x
 2MASS_J04345973+2807017   19.39   0.02   18.22   0.01   17.48   0.01      7.0     3.5    -15.6     3.2     0.8    37    17.1        x
 2MASS_J04350850+2311398   15.73   0.01   14.63   0.01   14.01   0.01      9.4     1.3    -19.8     1.1     1.2    89    16.3        x
 2MASS_J04354093+2411087   14.85   0.02   14.12   0.04   13.29   0.03     10.9     4.4     -7.7     6.2      16    74    17.2        x
 2MASS_J04354183+2234115   16.26   0.01   15.15   0.01   14.50   0.01      9.6     1.3    -16.1     1.5     1.6    88    16.3        x
 2MASS_J04354203+2252226   14.68   0.01   13.59   0.01   13.00   0.01      8.4     1.9    -13.0     1.6     1.6    71    16.3        x
 2MASS_J04354526+2737130   19.65   0.01   17.94   0.01   16.99   0.01      8.7     4.3    -24.7     1.7     2.0    57    15.2        x
 2MASS_J04355143+2249119   20.23   0.01   18.55   0.01   17.53   0.02     20.7     6.4    -14.3     2.5     2.7    59    16.3        x
 2MASS_J04355209+2255039   14.78   0.01   13.74   0.01   13.14   0.01      5.9     1.9     -4.4     2.2     3.2    71    16.3        x
 2MASS_J04355760+2253574   18.57   0.01   17.55   0.01   17.00   0.02     20.0     5.4    -12.6     2.3     4.6    69    16.3        x
 2MASS_J04355949+2238291   17.21   0.03   16.73   0.02   16.25   0.01     13.8     3.2    -14.0     3.8     4.8    89    16.3        x
 2MASS_J04361030+2159364   19.19   0.01   17.65   0.02   16.71   0.01      7.7     2.8    -21.9     2.9     3.8    70    16.3        x
 2MASS_J04361038+2259560   18.33   0.01   16.79   0.01   15.84   0.01     12.6     3.1    -15.1     2.4     3.1    64    16.3        x
 2MASS_J04362151+2351165   16.02   0.01   15.05   0.01   14.55   0.01     -0.4     1.2    -16.7     1.5     2.7    54    16.3        x
 2MASS_J04363248+2421395   15.57   0.01   14.24   0.01   13.41   0.01     12.3     1.9    -10.0     1.4     1.6    58    14.3        x
 2MASS_J04363893+2258119   18.02   0.01   16.48   0.01   15.55   0.01     13.3     5.7    -24.9     6.7      32    62    16.3        x
 2MASS_J04373705+2331080     NaN    NaN   20.75   0.03   19.67   0.10     15.9    13.5    -54.8    13.4     0.6    16    15.0        x
 2MASS_J04374333+3056563   15.99   0.01   15.09   0.01   14.56   0.01      6.4     3.6    -10.6     2.0     6.5    81    15.1        x
 2MASS_J04375670+2546229   17.21   0.06   16.46   0.07   16.00   0.06     -4.6     1.6      7.6     3.4     4.9    62    16.2        x
 2MASS_J04380083+2558572   15.79   0.01   14.34   0.01   13.49   0.01     -9.0     5.3    -35.6     7.5      15    77    16.2        x
 2MASS_J04380191+2519266   16.87   0.01   16.07   0.02   15.57   0.01     29.6    10.0    -45.3    23.5      35    78    16.2        x
 2MASS_J04381486+2611399   18.98   0.01   17.66   0.01   16.92   0.01      9.5     2.8    -17.0     4.6     4.6    77    16.2        x
 2MASS_J04381630+2326402   14.50   0.01   13.65   0.01   13.18   0.01      8.6     2.9    -16.2     1.7     3.9    69    16.2        x
 2MASS_J04382134+2609137     NaN    NaN   14.88   0.07   13.82   0.01     21.8     2.9    -17.1     3.1     5.7    54    16.2        x
 2MASS_J04384725+1737260   15.57   0.01   14.67   0.01   14.19   0.01      6.0     1.5    -19.7     1.8     1.9    76    17.2        x
 2MASS_J04385859+2336351   14.99   0.01   14.00   0.01   13.44   0.01     11.1     1.5    -20.3     2.7     1.8    62    16.3        x
 2MASS_J04385871+2323595   15.60   0.01   14.53   0.01   13.94   0.01      5.3     1.7    -20.0     2.0     1.6    70    16.3        x
 2MASS_J04390396+2544264   16.74   0.02   15.29   0.01   14.47   0.01      5.2     2.2    -25.9     2.7     4.5    66    16.3        x
 2MASS_J04390525+2337450   14.92   0.02   14.57   0.01   14.66   0.02     31.8    16.2    -31.5     5.6      11    77    16.3        x
 2MASS_J04390637+2334179   15.20   0.01   14.11   0.01   13.51   0.01      4.5     1.2    -20.4     1.2     1.3    67    16.3        x
 2MASS_J04394748+2601407   17.54   0.02   15.79   0.01   14.68   0.01      3.5     2.1    -11.1     4.0     4.7    56    16.3        x
 2MASS_J04400067+2358211   15.70   0.01   14.57   0.01   13.95   0.01     -7.8     4.0    -37.2     4.6     8.7    64    16.3        x
 2MASS_J04400174+2556292   18.99   0.01   17.25   0.01   16.08   0.02      2.3     3.9      3.9    10.1      15    46    16.3        x
 2MASS_J04400800+2605253   18.34   0.01   16.66   0.01   15.68   0.01     -2.2     2.6    -11.4     2.8     2.1    47    16.3        x
 2MASS_J04403979+2519061   15.89   0.01   14.59   0.01   13.81   0.01     -0.1     5.8     -8.2     9.8      17    89    16.3        x
 2MASS_J04410826+2556074   16.98   0.02   16.25   0.03   15.86   0.04      4.9     4.5    -16.2     6.6      19    69    16.3        x
 2MASS_J04411078+2555116   17.90   0.07   16.31   0.07   15.57   0.04    -11.8     7.4    -25.9     4.1      20    68    16.3        x
 2MASS_J04413882+2556267   15.09   0.02   14.21   0.02   13.46   0.05      0.0     5.5    -27.4     4.2      23    79    16.3        x
 2MASS_J04414489+2301513   18.37   0.01   16.96   0.01   16.10   0.01      6.9     2.2    -19.9     1.5     1.4    59    16.2        x
 2MASS_J04414825+2534304   17.81   0.02   16.82   0.01   15.77   0.02     10.9     2.4    -16.6     2.7     3.6    69    16.3        x
 2MASS_J04422101+2520343   14.61   0.01   13.60   0.01   13.03   0.01      4.6     2.2    -18.3     2.0      16    64    16.3        x
 2MASS_J04440164+1621324   16.64   0.01   15.52   0.01   14.89   0.01     11.3     2.0    -21.0     2.3     5.3    85    17.2        x
 2MASS_J04442713+2512164   14.95   0.03   13.91   0.08   13.53   0.04      4.2     1.7    -15.3     1.5     2.6    84    16.2        x
 2MASS_J04480632+1551251   17.47   0.01   16.31   0.01   15.59   0.01     13.8     2.0    -19.0     1.2     3.4    71    17.2        x
 2MASS_J04484189+1703374   17.09   0.01   15.84   0.01   15.13   0.01      3.8     1.8    -14.8     2.0     3.5    76    17.2        x
 2MASS_J04485745+2913521   14.97   0.01   13.94   0.01   13.38   0.01     12.9     6.1    -17.5     6.3      21    71    17.1        x
 2MASS_J04485789+2913548   16.59   0.01   15.73   0.04   15.31   0.01      8.7     6.5    -24.0     6.3      19    70    17.1        x
 2MASS_J04520668+3047175   19.42   0.02   18.21   0.03   17.31   0.01      9.2     2.6    -31.6     1.9     3.9    65    17.0        x
 2MASS_J04520970+3037454   16.02   0.03   15.40   0.05   15.02   0.10      1.9     1.3    -29.8     2.0     3.0    82    17.0        x
 2MASS_J04552333+3027366   16.55   0.01   15.38   0.01   14.70   0.01     -6.1     4.5    -23.6     1.8     6.5    71    17.0        x
 2MASS_J04554046+3039057   15.63   0.01   14.70   0.01   14.19   0.01      5.0     1.6    -22.9     1.5     2.7    73    17.0        x
 2MASS_J04554801+3028050   16.45   0.01   15.37   0.01   14.74   0.01      4.2     4.0    -22.9     2.4     3.1    69    17.0        x
 2MASS_J04554969+3019400   15.93   0.01   14.88   0.01   14.29   0.01      5.8     1.7    -22.5     1.4     1.8    49    17.0        x
 2MASS_J04555288+3006523   14.51   0.01   13.61   0.01   13.07   0.01     10.8     2.1     -8.7     1.1     1.8    53    16.9        x
 2MASS_J04555636+3049374   14.79   0.01   13.88   0.01   13.40   0.01      5.9     0.9    -23.6     2.1     4.6    77    17.0        x
 2MASS_J04574903+3015195   20.54   0.03   18.82   0.02   17.80   0.01     -5.2     4.1    -24.1     4.0     0.9    48    17.0        x
 2MASS_J04591661+2840468   18.14   0.01   17.54   0.08   17.56   0.02      3.1     3.3      3.1     2.3     1.1    48    17.0        x
 2MASS_J05052286+2531312   14.86   0.12   13.71   0.07   13.40   0.08     -0.2     2.8    -17.9     4.7      21    79    14.9        x
 2MASS_J05064662+2104296   14.90   0.01   13.95   0.01   13.44   0.01      8.6     2.3    -18.2     2.2     4.3    53    17.1        x
 2MASS_J05073903+2311068   14.75   0.01   14.08   0.01   13.55   0.01      6.5     1.7    -17.4     3.2     3.6    36    17.2        x
   PSO_J077.1034+24.3810   21.62   0.10   20.18   0.05   19.21   0.06     14.1    12.5    -27.1    12.1     0.6    27    16.0        x
# ================================================================================
# ===============  Unreliable fits: rchisq <= 0.3 or rchisq >= 40  ===============
# ================================================================================
 2MASS_J04141188+2811535   16.76   0.05   15.78   0.03   14.99   0.01     11.8     5.5    -25.0    19.5      81    53    17.2        x
 2MASS_J04174955+2813318   15.70   0.02   15.00   0.01   14.47   0.01     -6.0     4.4     -3.3    12.2      59    90    17.2        x
 2MASS_J04180796+2826036   15.14   0.01   13.91   0.01   13.21   0.01     15.0     3.9      1.1    12.1      51    87    17.2        x
 2MASS_J04185813+2812234   17.16   0.02   16.04   0.08   15.40   0.06     25.4     6.3    -81.7    36.5      61    97    17.2        x
 2MASS_J04292373+2433002   15.51   0.04   14.93   0.10   14.41   0.14    -23.6    14.6     68.5    27.1      66    71    17.1        x
WISE_J043835.50+261041.9   16.20   0.04   15.69   0.07   15.12   0.02      2.2     6.1    -21.7     7.0      44    65     5.1        a
 2MASS_J04391389+2553208     NaN    NaN     NaN    NaN   19.75   0.14     -2.0   462.7     -5.4    65.0     0.2     7    15.0        x
