# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J15524857-2621453   16.25   0.01   15.30   0.01   14.78   0.01    -16.0     1.3    -13.9     7.8     6.3    46    15.7
 2MASS_J15530132-2114135   14.78   0.01   13.93   0.01   13.47   0.01     -9.5     1.5    -20.8     1.9     1.5    59    16.3
 2MASS_J15541998-2135428   19.00   0.01   17.56   0.01   16.70   0.01     -7.3     3.0    -24.1     2.7     1.0    42    16.3
 2MASS_J15543065-2536054   18.67   0.01   17.41   0.01   16.73   0.01    -10.6     2.3    -19.0     4.6     1.6    47    15.7
 2MASS_J15543190-2221564   17.95   0.01   16.65   0.01   15.92   0.01    -18.3     3.5    -18.5     3.0     2.8    38    16.6
 2MASS_J15544486-2843078   17.16   0.01   16.15   0.01   15.62   0.01    -21.1     4.3    -31.7     3.6     5.4    64    15.1
 2MASS_J15550531-2117402   15.52   0.01   14.59   0.01   14.08   0.01    -10.8     1.7    -18.1     2.6     3.7    50    16.3
 2MASS_J15551960-2751207   17.45   0.01   16.30   0.01   15.64   0.01    -17.7     2.3    -33.9     2.0     1.5    56    15.1
 2MASS_J15552561-1817484   15.69   0.01   14.56   0.01   13.95   0.01     -8.2     1.4    -20.2     1.7     2.8    73    16.6
 2MASS_J15553243-2308171   15.57   0.01   15.12   0.02   14.87   0.01     35.9     7.9     31.8    11.5      19    57    16.6
 2MASS_J15555600-2045187   16.99   0.01   16.13   0.05   15.37   0.01    -11.2     1.6    -24.4     1.6     1.3    60    16.1
 2MASS_J15560104-2338081   17.18   0.01   16.04   0.01   15.43   0.01    -13.6     1.5    -20.0     3.2     2.4    75    16.6
 2MASS_J15560497-2106461   17.82   0.01   16.52   0.01   15.77   0.01    -13.8     1.1    -16.9     4.6     1.5    50    16.6
 2MASS_J15561216-2354076     NaN    NaN     NaN    NaN   12.51   0.02    -19.7     3.9    -30.0     3.0     3.3    28    15.7
 2MASS_J15561978-2423288   16.26   0.01   15.32   0.01   14.83   0.01     -3.1    10.5    -19.0     3.8      21    76    15.7
 2MASS_J15562060-2336099     NaN    NaN     NaN    NaN   12.62   0.01    -12.1     3.1    -14.2     3.8     3.6    64    16.6
 2MASS_J15563425-2003332   14.63   0.01   13.73   0.01   13.26   0.01    -11.3     1.9    -17.9     2.8     3.5    51    16.6
 2MASS_J15570641-2206060   14.93   0.01   14.06   0.01   13.65   0.01    -11.3     2.9    -17.1     2.8     3.0    50    15.7
 2MASS_J15571279-2343465   16.64   0.01   15.59   0.01   14.99   0.01    -11.9     1.4    -15.7     2.2     2.5    52    15.7
 2MASS_J15572343-2924290   18.30   0.01   17.08   0.01   16.37   0.01    -17.9     2.6    -29.1     3.6     2.0    39    15.1
 2MASS_J15572692-2715094   16.45   0.01   15.57   0.01   15.11   0.01    -21.5     1.8    -48.6     2.8     2.6    62    14.9
 2MASS_J15572849-2219051   15.37   0.01   14.48   0.01   14.01   0.01    -16.0     5.2    -14.6     3.1      12    51    14.6
 2MASS_J15572919-2215237   16.00   0.01   15.22   0.01   14.82   0.01    -29.4     3.5     -8.1     2.6      14    53    14.6
 2MASS_J15572986-2258438   14.77   0.01   13.94   0.01   13.51   0.01    -26.4    12.0    -11.2     4.6      17    73    14.6
 2MASS_J15573718-2245251   15.65   0.01   15.06   0.01   14.77   0.01     -9.8     1.6    -12.0     1.5     1.8    65    14.1
 2MASS_J15574250-2226055   14.73   0.01   14.03   0.01   13.67   0.01    -13.2     1.5    -21.0     2.7     3.2    53    14.6
 2MASS_J15574757-2444121   15.66   0.01   14.81   0.01   14.40   0.01    -12.7     1.3    -19.1     5.0     2.6    62    15.7
 2MASS_J15581571-2021368   14.66   0.01   13.81   0.01   13.39   0.01    -11.1     2.0    -21.5     2.9     4.4    63    15.7
 2MASS_J15581884-1915448     NaN    NaN     NaN    NaN   12.57   0.01     -8.2     2.3    -16.7     3.9     3.0    76    15.7
 2MASS_J15582337-2151588   15.19   0.01   14.25   0.01   13.73   0.01     -7.5     2.2    -19.1     3.2     2.1    57    15.1
 2MASS_J15582376-2721435   15.96   0.01   15.04   0.01   14.56   0.01     -6.4     2.1    -22.9     2.3     1.9    66    15.1
