# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J16051615-1938310   15.03   0.01   14.21   0.01   13.80   0.01     -6.0     2.3    -18.3     5.3     3.4    59    16.5
 2MASS_J16052556-2035397   15.05   0.01   14.09   0.01   13.57   0.01     -5.8     3.2    -33.3     6.8     4.7    71    16.5
 2MASS_J16052787-2115510   15.87   0.01   15.00   0.01   14.51   0.01     -7.2     1.8    -14.1     2.6     2.5    85    16.5
 2MASS_J16053077-2246200   17.18   0.01   16.03   0.01   15.38   0.01    -12.1     3.0    -21.9     2.2     2.1    71    15.1
 2MASS_J16053128-1926240   15.35   0.01   14.43   0.01   13.93   0.01     -8.4     2.1    -21.1     1.7     1.6    64    15.1
 2MASS_J16053215-1933159   15.49   0.01   14.67   0.01   14.28   0.01     -7.4     1.2    -15.6     3.4     2.0    57    15.7
 2MASS_J16054416-2155054   14.91   0.01   13.94   0.01   13.40   0.01    -14.0     2.0    -36.0     4.4     4.3    67    15.1
 2MASS_J16054565-1948353   15.49   0.01   14.61   0.01   14.14   0.01     -7.5     1.4    -15.4     4.4     2.6    64    15.7
 2MASS_J16054778-1945263   14.88   0.01   14.05   0.01   13.63   0.01     -5.2     1.1    -13.6     4.8     2.9    76    15.7
 2MASS_J16055407-1818443   16.78   0.01   15.64   0.01   15.00   0.01     -4.8     2.0    -14.7     1.4     1.6    68    15.7
 2MASS_J16055409-1818488   21.26   0.10   19.66   0.03   18.71   0.09    -16.2     6.2    -31.7     5.9     1.2    15    14.1
 2MASS_J16060374-2219298   20.55   0.04   18.94   0.02   17.97   0.01      7.4     7.9    -13.3     2.7     0.9    36    15.7
 2MASS_J16060391-2056443   17.34   0.01   16.02   0.01   15.27   0.01     -8.6     2.1    -20.0     4.4     2.9    62    15.1
 2MASS_J16060629-2335133   20.70   0.04   19.23   0.01   18.28   0.01     -7.5     6.5    -18.1     6.4     1.0    31    15.1
 2MASS_J16061144-1935405   15.82   0.03   14.96   0.01   14.32   0.01     -4.7     3.4    -13.1     1.7     2.4    65    15.7
 2MASS_J16061199-1935331   15.05   0.01   14.05   0.01   13.50   0.01     -6.0     1.7    -15.0     1.7     2.2    62    15.7
 2MASS_J16061935-1923326   15.20   0.01   14.31   0.01   13.84   0.01     -4.1     2.8    -25.2     2.7     5.1    71    15.1
 2MASS_J16062277-2011243   14.61   0.01   13.84   0.01   13.42   0.01     -8.1     3.3    -15.3     2.9     4.2    80    15.7
 2MASS_J16062389-1941165   14.77   0.01   13.82   0.01   13.30   0.01     -6.0     1.2    -21.9     1.9     1.7    78    15.1
 2MASS_J16062637-2306113   16.08   0.01   15.17   0.01   14.69   0.01     -5.8     2.3    -14.2     4.2     2.7    74    15.7
 2MASS_J16062860-2043317   14.65   0.01   13.71   0.01   13.16   0.01    -12.4     1.2    -13.3     4.9     3.4    87    15.7
 2MASS_J16062870-2856580   16.54   0.01   15.57   0.01   15.04   0.01     -3.9     1.7    -19.4     1.7     1.7    72    15.9
 2MASS_J16063210-2020538   15.87   0.01   14.95   0.01   14.46   0.01    -19.5     8.9     -9.6     8.1      18    75    15.8
 2MASS_J16063461-2255043   14.72   0.01   13.86   0.01   13.39   0.01    -10.0     1.6    -21.0     2.4     2.5    51    15.9
 2MASS_J16063539-2516510   15.26   0.01   14.41   0.01   13.97   0.01     -9.6     1.4    -20.6     5.1     3.5    53    16.5
 2MASS_J16063922-2248340   15.09   0.01   14.24   0.01   13.78   0.01     -4.0     2.3    -25.8     4.9      12    77    16.4
 2MASS_J16064102-2455489   15.70   0.01   14.89   0.01   14.41   0.01    -10.3     1.8    -20.0     4.1     4.7    64    16.5
 2MASS_J16064266-1851140   18.26   0.01   16.86   0.01   16.04   0.01     -7.4     2.1    -20.8     2.1     1.4    47    15.9
 2MASS_J16064818-2230400   19.06   0.01   17.61   0.01   16.75   0.01     -8.0     1.4    -16.3     4.0     1.2    42    16.4
 2MASS_J16065018-2309539   14.57   0.01   13.74   0.01   13.29   0.01     -7.0     1.9    -22.4     2.4     5.2    74    16.4
 2MASS_J16070009-2043102   14.50   0.01   13.70   0.01   13.25   0.01     -7.9     1.4    -20.7     3.8     6.1    76    15.7
 2MASS_J16070051-2206362     NaN    NaN   13.05   0.01   12.71   0.01    -12.2     1.1    -19.9     2.3     1.9    92    15.7
 2MASS_J16070169-2028579   16.67   0.01   15.74   0.01   15.04   0.01     -8.5     2.2    -24.7     3.1     3.2    70    15.1
 2MASS_J16070474-2015557   15.14   0.01   14.32   0.01   13.88   0.01     -5.0     1.2    -14.7     5.0     3.0    84    15.7
 2MASS_J16070700-2515127   14.51   0.01   13.76   0.01   13.37   0.01    -11.6     2.2    -16.7     9.6     6.4    48    16.5
 2MASS_J16070873-1927341   14.71   0.01   13.95   0.01   13.51   0.01     -9.0     2.4    -14.3     2.0     4.3    75    15.7
 2MASS_J16071007-1917046   15.64   0.01   14.66   0.01   14.14   0.01    -13.6     2.0    -23.7     3.1     3.7    81    15.1
 2MASS_J16071348-2106016   15.35   0.01   14.41   0.01   13.89   0.01    -10.0     1.3    -24.6     2.2     2.3    85    15.1
 2MASS_J16071478-2321011     NaN    NaN   19.81   0.01   18.74   0.02      0.2    12.2    -16.3    11.0     0.7    17    14.3
 2MASS_J16071750-1820348   18.95   0.01   17.48   0.01   16.72   0.04     -4.5     2.6    -21.1     3.3     2.9    50    15.7
 2MASS_J16072240-2011581   15.75   0.01   14.76   0.01   14.19   0.01     -7.2     1.9    -25.8     2.0     4.8    85    15.1
 2MASS_J16072382-2211018   19.51   0.02   17.93   0.01   17.05   0.01    -19.5     6.0    -21.7     6.9     4.1    53    15.7
 2MASS_J16072641-2144169   17.98   0.01   16.85   0.01   16.21   0.01     -9.2     2.4    -20.7     4.3     2.7    62    15.1
 2MASS_J16072754-2018344   15.76   0.01   14.66   0.01   14.04   0.01     -6.2     3.6    -23.6     2.3      13    70    15.1
 2MASS_J16072853-2407543     NaN    NaN     NaN    NaN   12.55   0.01     -3.2    13.0    -20.8    11.8      16    62    16.5
 2MASS_J16073556-2027134   15.80   0.01   14.92   0.01   14.43   0.01     -8.2     1.5    -22.8     2.7     2.6    64    15.1
 2MASS_J16073799-2242468     NaN    NaN   19.99   0.02   18.93   0.03    -14.4    10.3    -16.5    10.3     0.9    36    14.8
 2MASS_J16074036-2357019   16.88   0.01   15.80   0.01   15.21   0.01     -7.0     1.8    -20.3     2.5     3.0    73    15.7
 2MASS_J16074200-2107302   15.12   0.01   14.23   0.01   13.77   0.01     -4.7     2.2    -14.4     4.5     4.5    82    15.7
 2MASS_J16074522-2222574   15.30   0.01   14.41   0.01   13.91   0.01     -9.7     1.4    -11.9     3.6     3.1    73    15.7
 2MASS_J16075039-2221021   15.18   0.01   14.27   0.01   13.79   0.01     -8.3     2.8    -19.9     3.1     4.2    70    15.1
 2MASS_J16075567-2443267   16.75   0.01   15.78   0.01   15.28   0.01     -8.2     7.5    -17.1     2.9      16    60    16.5
 2MASS_J16075850-2039485   16.88   0.01   15.78   0.01   15.18   0.01     -4.6     3.1    -22.6     6.0     7.2    85    15.7
 2MASS_J16080051-2040289   15.27   0.01   14.33   0.01   13.81   0.01     -0.7     4.5    -28.2     6.3      13    84    15.1
 2MASS_J16080217-2259057   15.15   0.01   14.18   0.01   13.68   0.01     -8.4     1.2    -14.8     3.7     2.2    62    15.7
 2MASS_J16080245-2531392   14.61   0.01   13.75   0.01   13.28   0.01    -14.8     2.7    -17.8     3.5     4.1    57    16.5
 2MASS_J16080370-1812385   16.78   0.01   16.10   0.01   15.79   0.01     34.8    17.5     17.1    11.7      10    65    15.7
 2MASS_J16080745-2345055   17.93   0.01   16.74   0.01   16.05   0.01     -5.0     7.0    -17.7     4.8     3.1    63    15.7
 2MASS_J16081081-2229428   15.62   0.01   14.61   0.01   14.08   0.01     -4.4     2.1    -20.7     3.2     2.0    68    15.7
 2MASS_J16081758-2348508   16.66   0.01   15.64   0.01   15.08   0.02     -6.5     5.7    -18.9     5.2     3.3    57    15.7
 2MASS_J16081843-2232248   20.92   0.04   19.26   0.02   18.18   0.01    -11.7     5.6    -26.7     5.5     0.7    46    15.1
 2MASS_J16082096-1832197   17.66   0.01   16.52   0.01   15.87   0.01    -15.6     1.6    -18.3     3.3     2.7    57    15.7
 2MASS_J16082229-2217029   15.96   0.01   15.00   0.01   14.47   0.01    -19.1     4.1    -25.9     1.9      11    53    15.7
 2MASS_J16082751-1949047   14.52   0.01   13.61   0.01   13.10   0.01     10.7     6.2     -6.2     8.0     5.0    74    15.7
 2MASS_J16082847-2315103   20.03   0.02   18.43   0.01   17.47   0.01     -8.6     4.0    -30.8     3.9     1.2    41    15.1
 2MASS_J16083048-2335109   19.08   0.01   17.58   0.01   16.75   0.01    -12.3     4.1    -18.7     4.4     1.4    45    15.7
 2MASS_J16083455-2211559   15.36   0.01   14.47   0.01   13.97   0.01     -9.8     1.7    -18.7     3.8     3.4    81    15.7
 2MASS_J16083659-1802497   16.26   0.01   15.10   0.01   14.42   0.01     -5.4     1.5    -17.7     4.7     4.1    88    15.7
 2MASS_J16084171-1856107   15.46   0.01   14.38   0.01   13.79   0.01     -6.5     1.5    -18.6     1.6     1.9    73    15.1
 2MASS_J16084565-2430000   14.73   0.01   13.93   0.01   13.54   0.01    -10.6     1.4    -14.3     5.2     3.3    75    16.5
 2MASS_J16084744-2235477   20.14   0.02   18.56   0.01   17.66   0.01      0.1     4.5    -27.3     4.5     0.8    46    15.1
 2MASS_J16084836-2341209   15.43   0.01   14.46   0.01   13.98   0.01     -9.4     2.3    -17.6     4.9     3.9    72    15.7
 2MASS_J16085871-2449363   14.86   0.01   14.08   0.01   13.68   0.01    -10.0     1.8    -15.4     4.9     7.2    82    16.5
 2MASS_J16090002-1908368   14.75   0.01   13.87   0.01   13.43   0.01     -4.9     1.2    -19.2     3.8     2.3    74    15.7
 2MASS_J16090051-2745194   14.95   0.01   14.04   0.01   13.53   0.01    -14.0     3.0    -17.8     3.2     3.9    58    16.5
 2MASS_J16090071-2029086   17.83   0.01   16.63   0.01   15.95   0.01     -4.5     3.4    -22.4     1.8     2.2    46    15.7
 2MASS_J16090168-2740521   16.21   0.01   15.08   0.01   14.46   0.01    -11.3     2.2    -24.4     2.1     2.3    68    15.9
 2MASS_J16090197-2151225   17.15   0.01   15.96   0.01   15.29   0.01     -8.1     2.7    -15.9     2.7     2.8    59    15.7
 2MASS_J16090407-2417588   15.01   0.01   13.86   0.01   13.35   0.02     -8.4     2.1    -25.6     3.6      14    74    16.0
 2MASS_J16090451-2224523   16.60   0.01   15.37   0.01   14.65   0.01     -6.1     2.1    -16.5     2.0     1.4    68    15.1
 2MASS_J16090776-2339545   15.04   0.01   14.09   0.01   13.56   0.01     -8.4     2.1    -26.7     1.9     2.4    77    15.1
 2MASS_J16090884-2217466   15.74   0.01   14.82   0.01   14.36   0.01    -15.9     1.7    -26.0     3.0     3.0    73    15.7
 2MASS_J16091580-1937063   15.03   0.01   14.22   0.01   13.78   0.01     -3.2     1.6    -13.5     2.0     2.3    77    15.7
 2MASS_J16091689-2341324   14.74   0.01   13.83   0.01   13.38   0.01    -15.2     2.7    -15.2     5.7     5.6    72    15.7
 2MASS_J16091837-2007349   16.40   0.01   15.23   0.01   14.61   0.01    -11.7     3.4    -25.6     3.3     3.6    47    15.1
 2MASS_J16092054-1926318   16.32   0.03   15.21   0.01   14.61   0.01     -9.5     3.3    -18.6     3.6     4.8    58    15.7
 2MASS_J16092136-2139342   15.11   0.01   14.12   0.02   13.58   0.01    -10.2     4.7     -6.3     6.0      28    64    15.1
 2MASS_J16092619-2403030   14.94   0.01   14.09   0.01   13.66   0.01     -8.0     1.1    -18.6     4.1     2.6    77    16.5
 2MASS_J16092938-2343121   17.83   0.01   16.57   0.01   15.87   0.01     -8.3     1.4    -16.1     2.0     1.3    59    15.7
 2MASS_J16093019-2059536   17.30   0.01   16.17   0.01   15.56   0.01     -5.8     3.4    -13.7     6.1     1.9    63    15.7
 2MASS_J16093245-2405593   16.11   0.01   15.05   0.01   14.43   0.01     -4.8     1.9    -17.5     7.9     8.3    74    16.5
 2MASS_J16093558-1828232   14.62   0.01   13.81   0.01   13.38   0.01     -2.6     1.4    -14.7     5.3     4.6    90    15.7
 2MASS_J16093706-2052529   15.82   0.01   14.90   0.01   14.39   0.01     -5.9     1.6    -15.4     2.3     2.0    83    15.1
 2MASS_J16094634-2255335   14.71   0.01   13.87   0.01   13.44   0.01     -7.1     4.6    -15.1     7.7     5.3    70    15.7
 2MASS_J16095060-1848521   18.73   0.01   17.25   0.01   16.37   0.01     -6.0     3.6    -20.6     3.7     1.9    41    15.1
 2MASS_J16095107-2722418   16.72   0.01   15.58   0.01   14.92   0.01    -11.1     3.9    -20.1     2.7     2.9    64    16.5
 2MASS_J16095217-2136277   16.11   0.01   14.91   0.01   14.23   0.01     -5.1     1.7    -27.4     2.2     2.2    61    15.1
 2MASS_J16095287-2441535   14.77   0.01   13.86   0.01   13.35   0.01     -7.2     1.7    -26.6     2.6     3.6    63    16.0
 2MASS_J16095307-1948169   16.04   0.01   14.94   0.01   14.33   0.01     -3.7     2.2    -10.6     4.7     7.0    61    15.1
 2MASS_J16095361-1754474   15.50   0.01   14.56   0.01   14.11   0.01     -8.3     2.8    -17.3     2.6     3.7    81    15.7
 2MASS_J16095695-2212027   16.69   0.01   15.69   0.01   15.13   0.01     -6.8     1.1    -17.4     4.2     1.5    73    15.7
 2MASS_J16095852-2345186   16.09   0.01   14.92   0.01   14.26   0.01     -7.2     2.2    -25.2     2.4      11    87    15.1
 2MASS_J16095990-2155424   17.54   0.01   16.45   0.01   15.86   0.01     -7.4     1.3    -16.4     6.1     2.0    77    15.7
 2MASS_J16100129-2152243   15.82   0.01   14.78   0.01   14.18   0.01     -0.7     1.7    -25.0     2.3     3.1    79    15.1
 2MASS_J16100394-2728479   14.65   0.01   13.85   0.01   13.44   0.01     -7.7     1.2    -14.9     3.5     2.9    68    16.5
 2MASS_J16100541-1919362   17.93   0.01   16.66   0.03   15.90   0.02      0.5     5.3    -13.4     2.6     7.1    49    15.7
 2MASS_J16100608-2127440   19.16   0.02   17.61   0.01   16.73   0.01     -6.1     3.6    -19.1     2.8     2.4    46    15.7
 2MASS_J16100753-1810568   16.16   0.01   14.99   0.01   14.35   0.01     -4.2     1.6    -22.2     1.8     1.7    76    15.1
 2MASS_J16101100-1946040   15.09   0.01   14.22   0.01   13.77   0.01     -9.3     1.2    -15.5     2.6     4.6    89    15.7
 2MASS_J16101191-2101550   16.81   0.01   15.72   0.01   15.06   0.01     -5.6     1.7    -19.4     1.9     2.5    79    15.1
 2MASS_J16101316-2856308   17.53   0.01   16.34   0.01   15.68   0.01    -15.0     2.8    -15.2     3.1     1.3    51    16.5
 2MASS_J16101445-1951377     NaN    NaN     NaN    NaN   12.61   0.01     -2.3     2.9    -15.3     2.6     1.9    46    15.7
 2MASS_J16101888-2502325   14.90   0.01   14.02   0.01   13.59   0.02    -28.4     9.0    -30.8     8.5      28    46    16.5
 2MASS_J16101942-2331089   16.66   0.01   15.67   0.01   15.13   0.01     -5.1     1.2    -13.6     2.3     1.6    62    15.7
 2MASS_J16102087-2331556   14.76   0.01   13.86   0.01   13.35   0.01    -13.5     2.1    -24.2     3.6     5.0    76    15.1
 2MASS_J16102564-2411250   18.81   0.01   17.46   0.01   16.68   0.01    -16.2     5.9    -20.2     2.4     1.9    51    16.0
 2MASS_J16102819-1910444   15.90   0.01   14.93   0.01   14.40   0.01     -6.8     2.4    -11.1     1.9     6.2    80    15.7
 2MASS_J16102988-2403497   15.65   0.01   14.82   0.01   14.36   0.01     -7.2     3.1    -21.4     2.3     5.9    66    16.0
 2MASS_J16103008-1839065   14.86   0.01   13.86   0.01   13.28   0.01     -5.8     1.2    -19.2     2.8     3.4    86    15.7
 2MASS_J16103014-2315167   18.10   0.01   16.83   0.01   16.09   0.01     -6.3     2.0    -29.7     2.0     1.4    64    15.1
 2MASS_J16103525-2029168   15.73   0.01   14.74   0.01   14.21   0.01     -8.1     1.2    -16.7     3.1     2.4    74    15.7
 2MASS_J16103876-1829235   17.66   0.01   16.46   0.01   15.72   0.01     -4.0     1.3    -12.9     2.0     1.4    67    15.7
 2MASS_J16104636-1840598   15.50   0.01   14.58   0.01   14.01   0.01     -0.2     2.7    -24.6     2.2     3.0    82    15.1
 2MASS_J16104714-2239492   19.75   0.02   18.13   0.01   17.22   0.01     -4.3     3.9    -17.0     4.6     2.4    50    15.7
 2MASS_J16104996-2212515   15.95   0.01   14.89   0.01   14.28   0.01     -5.0     1.5    -18.7     2.8     2.4    54    15.7
 2MASS_J16105429-2309108   15.84   0.01   14.92   0.01   14.45   0.01    -21.7     3.2    -35.6     3.0     5.4    78    15.1
 2MASS_J16105499-2126139   16.05   0.01   14.98   0.01   14.36   0.01     22.8    17.1    -11.6     2.9      37    71    15.1
 2MASS_J16105728-2359540   15.58   0.01   14.72   0.01   14.27   0.01    -11.4     5.5    -12.9     4.0     6.7    70    16.5
 2MASS_J16110142-1924489   16.44   0.01   15.44   0.01   14.87   0.01     -4.9     1.7    -14.6     1.8     2.0    83    15.1
 2MASS_J16110212-2335504   14.63   0.01   13.80   0.01   13.34   0.01     -5.7     1.5    -20.5     4.2     2.9    64    15.7
 2MASS_J16110360-2426429   18.98   0.01   17.46   0.01   16.61   0.01     -9.1     1.6    -24.4     3.8     5.7    55    14.6
 2MASS_J16110737-2228501   15.51   0.01   14.43   0.01   13.83   0.01     -3.4     2.0    -18.9     2.0     2.0    73    15.1
 2MASS_J16111095-1933320   15.08   0.01   14.19   0.01   13.72   0.01     -1.6     1.4    -18.0     1.8     2.9    83    15.7
 2MASS_J16111237-1927374   16.01   0.01   14.93   0.01   14.31   0.01     -0.8     1.5    -17.0     1.6     2.6    81    15.7
 2MASS_J16111687-2639331   14.79   0.01   14.00   0.01   13.62   0.01     -7.0     1.5    -20.1     2.3     3.5    57    14.6
 2MASS_J16111711-2217173   17.96   0.01   16.73   0.01   16.04   0.01     -2.9     1.4    -14.7     3.6     1.4    62    15.7
 2MASS_J16111744-2441203     NaN    NaN     NaN    NaN   12.73   0.01     -7.9     2.2    -18.6     2.8     3.6    59    14.6
 2MASS_J16111820-1803585   16.04   0.01   14.93   0.01   14.32   0.01     -9.7     1.6    -17.7     2.6     2.8    76    15.1
 2MASS_J16111907-2319202   15.67   0.01   15.15   0.10   13.71   0.03     -8.1     1.4    -23.9     2.1     2.0    74    15.1
 2MASS_J16111935-1905080   17.49   0.01   16.21   0.01   15.47   0.01     -2.9     1.5    -17.3     7.0     2.9    37    15.7
 2MASS_J16112023-1847554   15.96   0.01   14.89   0.01   14.32   0.01     -1.4     1.7    -18.6     2.6     2.9    81    15.1
 2MASS_J16112479-2655461   18.50   0.01   17.24   0.01   16.52   0.01    -12.9     2.4    -17.6     2.4     1.1    50    14.6
 2MASS_J16112630-2340059   16.48   0.01   15.51   0.01   14.96   0.01     -7.1     2.4    -13.6     8.3     7.6    74    15.7
 2MASS_J16112939-1942246   15.14   0.01   14.22   0.01   13.67   0.01     -4.3     1.2    -19.4     4.8     3.0    76    15.7
 2MASS_J16112959-1900292   17.37   0.01   16.11   0.01   15.39   0.01     -5.4     1.8    -18.5     2.8     1.3    48    15.7
 2MASS_J16113180-2237082   15.79   0.01   14.83   0.01   14.29   0.01     -4.8     1.9    -17.2     5.2     3.0    82    15.7
 2MASS_J16113363-1914003     NaN    NaN     NaN    NaN   12.57   0.01    -12.9     6.2    -16.3     2.8      16    83    15.7
 2MASS_J16113470-2219442   16.35   0.01   15.37   0.01   14.83   0.01     -7.6     1.5    -16.3     5.0     2.4    81    15.7
 2MASS_J16113761-2346147   14.81   0.01   14.00   0.01   13.56   0.01     -7.9     0.9    -18.3     3.4     2.5    83    15.7
 2MASS_J16113837-2307072   17.00   0.01   15.95   0.01   15.34   0.01     -6.5     3.0    -21.4     2.3     4.0    82    15.7
 2MASS_J16114040-2311347   15.62   0.01   14.63   0.01   14.09   0.01    -15.2     4.4    -51.4    16.1      10    77    15.7
 2MASS_J16114353-2527073   14.69   0.01   13.74   0.01   13.23   0.01    -13.6     1.9    -29.5     2.8     3.9    48    15.9
 2MASS_J16114530-2254329   15.99   0.01   14.95   0.01   14.36   0.01     -6.7     1.7    -27.4     2.2     2.4    83    15.1
 2MASS_J16114534-1928132   16.08   0.01   15.02   0.01   14.44   0.01     -7.6     3.0    -14.7     2.7     4.1    56    15.7
 2MASS_J16114612-1907429   15.28   0.01   14.31   0.01   13.79   0.01     -7.0     2.0    -27.5     2.7     3.9    75    15.1
 2MASS_J16114735-2242062   16.45   0.01   15.47   0.01   14.97   0.01     -6.8     3.0     -9.7     7.9     4.3    64    15.7
 2MASS_J16114920-1947431   14.66   0.01   13.76   0.01   13.28   0.01     -9.1     1.5    -18.0     6.5     4.2    67    15.7
 2MASS_J16115436-2157025   18.50   0.01   17.04   0.01   16.18   0.01     -2.2     7.1    -10.0     7.6      11    40    15.7
 2MASS_J16115439-2236491   17.59   0.01   16.49   0.01   15.89   0.01     -8.4     1.1    -12.2     5.0     1.5    68    15.7
 2MASS_J16115737-2215066   16.78   0.01   15.80   0.01   15.23   0.01     -8.8     1.6    -16.4     1.8     1.3    73    15.1
 2MASS_J16121016-2758305   18.94   0.02   17.63   0.01   16.86   0.02     32.5    27.6     24.4    26.9      17    42    16.5
 2MASS_J16121043-1932275   15.29   0.01   14.30   0.01   13.76   0.01     -5.8     1.1    -13.6     1.6     2.9    78    15.7
 2MASS_J16121185-2047267   17.14   0.01   15.95   0.01   15.29   0.01     -6.6     1.7    -22.2     1.4     1.8    74    15.7
 2MASS_J16121492-2218038   15.05   0.01   14.22   0.01   13.78   0.01     -5.2     2.4    -18.7     4.7     8.3    67    15.7
 2MASS_J16121609-2344248   16.11   0.01   15.18   0.01   14.68   0.01    -15.4     2.8    -15.4     3.1     4.9    67    15.7
 2MASS_J16121723-2839082   14.75   0.01   13.94   0.01   13.54   0.01     -2.6     4.6    -15.7     2.5      11    62    16.5
 2MASS_J16122737-2009596   15.70   0.01   14.68   0.01   14.10   0.01     -8.3     1.5    -23.8     2.7     2.3    73    15.1
 2MASS_J16122764-2156407     NaN    NaN   20.33   0.02   19.44   0.06     -5.2    13.6    -19.8    13.5     0.8    17    14.8
 2MASS_J16122768-2406485   15.94   0.01   14.95   0.01   14.39   0.01     -6.7     1.9    -23.9     1.6     2.4    68    16.0
 2MASS_J16122895-2159358     NaN    NaN   20.32   0.04   19.06   0.07    -33.1    83.4    -36.8    11.5     1.2    14    13.9
 2MASS_J16123458-2458341   14.96   0.01   13.98   0.01   13.46   0.01     -8.3     3.1    -25.0     4.3     4.0    67    15.9
 2MASS_J16123759-2349234   16.93   0.01   15.93   0.01   15.37   0.01     -6.8     1.7    -26.5     2.2     1.7    69    15.1
 2MASS_J16124374-2308231   14.59   0.01   13.79   0.01   13.33   0.01     -8.3     1.0    -23.6     4.8     4.1    77    15.7
 2MASS_J16124506-2305303   16.56   0.01   15.57   0.01   14.99   0.01     -8.8     1.0    -24.2     3.3     2.1    70    15.7
 2MASS_J16124692-2338408   17.00   0.01   15.87   0.01   15.24   0.01     -8.8     2.7    -19.3     1.6     1.9    69    15.1
 2MASS_J16124726-1903531   16.06   0.01   15.01   0.01   14.45   0.01     -2.2     5.4    -29.2     3.0     6.2    62    15.1
 2MASS_J16125528-2226542   15.15   0.01   14.28   0.01   13.81   0.01    -14.6     4.9    -23.0     3.5      16    71    15.1
 2MASS_J16130232-2124283     NaN    NaN   20.63   0.04   19.50   0.06     -9.0     6.2    -23.3     6.1     0.8    24    14.8
 2MASS_J16130235-1904450   17.72   0.02   16.60   0.02   15.79   0.02    -10.8     2.1    -18.0     2.2     1.0    52    15.1
 2MASS_J16130306-1929319   16.72   0.01   15.64   0.01   15.03   0.01     -9.7     1.5    -25.3     1.7     1.7    71    15.1
 2MASS_J16130762-1703524   16.74   0.01   15.73   0.01   15.17   0.01    -22.6    10.1     -4.9     5.9      32    68    15.2
 2MASS_J16130996-1904269   14.52   0.03   13.68   0.01   13.23   0.01     -5.5     1.6    -17.3     2.9     2.9    67    15.7
 2MASS_J16131082-2313514   15.23   0.01   14.36   0.01   13.90   0.01    -13.9     1.3    -33.2     1.7     1.6    71    15.1
 2MASS_J16131211-2305031   17.55   0.01   16.35   0.01   15.68   0.01     -6.0     2.1    -24.5     2.1     2.3    69    15.1
 2MASS_J16132665-2230348   16.97   0.01   15.80   0.01   15.18   0.01     -3.9     2.2    -17.6     5.3     2.0    48    15.7
 2MASS_J16132809-1924524   16.22   0.01   15.14   0.01   14.53   0.01     -3.9     1.3    -19.8     3.3     1.9    77    15.7
 2MASS_J16133476-2328156   16.40   0.01   15.49   0.01   14.98   0.01     -5.9     1.1    -14.9     2.7     1.9    75    15.7
 2MASS_J16133647-2327353   15.05   0.01   14.12   0.01   13.63   0.01    -10.0     1.2    -24.5     2.2     2.1    74    15.1
 2MASS_J16133834-2158518   14.58   0.01   13.79   0.01   13.36   0.01     -1.5     3.9    -11.7     2.5     7.5    58    15.7
 2MASS_J16133840-2443309     NaN    NaN   13.09   0.01   12.72   0.01    -12.2     3.0    -15.9     3.1     5.4    64    16.5
 2MASS_J16134045-2233156   16.02   0.01   14.99   0.01   14.42   0.01     -2.5     1.8    -23.6     2.1     4.0    64    15.1
 2MASS_J16134079-2219459   18.60   0.01   17.25   0.01   16.47   0.01     -2.7     2.7    -20.7     3.1     2.4    43    15.1
